seed,experiment,model,mode,val_acc,val_f1,test_acc,test_f1,gen_gap_acc,gen_gap_f1,future_retention_pct,best_epoch,epochs_run,train_minutes,summary_path
43,experiment_seed_43,densenet121,partial,74.827,73.928,38.05,37.158,36.777,36.769,50.26,8,13,6.84,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\densenet121_partial\summary.json
43,experiment_seed_43,efficientnet_b0,full,92.479,92.283,46.375,42.846,46.104,49.437,46.43,15,15,9.46,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\efficientnet_b0_full\summary.json
43,experiment_seed_43,efficientnet_b0,partial,79.125,78.898,36.4,33.569,42.725,45.329,42.55,11,15,5.51,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\efficientnet_b0_partial\summary.json
43,experiment_seed_43,dinov2,full,85.649,85.469,39.025,38.645,46.624,46.824,45.22,15,15,14.96,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\dinov2_full\summary.json
43,experiment_seed_43,dinov2,partial,82.041,81.558,49.775,46.47,32.266,35.087,56.98,12,15,5.99,R:\Anti gravity\Rice Disease Project\results\experiment_seed_43\dinov2_partial\summary.json
44,experiment_seed_44,resnet50,full,93.553,93.483,46.35,43.977,47.203,49.507,47.04,13,15,12.84,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\resnet50_full\summary.json
44,experiment_seed_44,resnet50,partial,81.427,81.318,40.675,39.631,40.752,41.687,48.74,11,15,5.84,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\resnet50_partial\summary.json
44,experiment_seed_44,densenet121,full,92.786,92.788,49.075,46.356,43.711,46.433,49.96,12,15,19.41,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\densenet121_full\summary.json
44,experiment_seed_44,densenet121,partial,74.751,74.056,40.0,38.633,34.751,35.423,52.17,9,14,7.34,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\densenet121_partial\summary.json
44,experiment_seed_44,efficientnet_b0,full,92.325,92.201,46.7,44.992,45.625,47.209,48.8,14,15,9.41,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\efficientnet_b0_full\summary.json
44,experiment_seed_44,efficientnet_b0,partial,79.279,79.025,35.65,32.501,43.629,46.524,41.13,10,15,5.57,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\efficientnet_b0_partial\summary.json
44,experiment_seed_44,dinov2,full,85.342,85.053,37.3,37.293,48.042,47.761,43.85,15,15,14.94,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\dinov2_full\summary.json
44,experiment_seed_44,dinov2,partial,82.502,82.035,50.35,47.891,32.152,34.144,58.38,6,11,4.62,R:\Anti gravity\Rice Disease Project\results\experiment_seed_44\dinov2_partial\summary.json
45,experiment_seed_45,resnet50,full,92.786,92.696,45.575,42.711,47.211,49.985,46.08,15,15,12.83,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\resnet50_full\summary.json
45,experiment_seed_45,resnet50,partial,81.12,80.922,40.575,39.727,40.545,41.196,49.09,14,15,5.92,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\resnet50_partial\summary.json
45,experiment_seed_45,densenet121,full,92.556,92.634,44.875,42.985,47.681,49.649,46.4,12,15,19.73,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\densenet121_full\summary.json
45,experiment_seed_45,densenet121,partial,74.674,73.954,38.75,37.343,35.924,36.612,50.49,13,15,7.9,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\densenet121_partial\summary.json
45,experiment_seed_45,efficientnet_b0,full,92.172,91.821,48.55,45.564,43.622,46.258,49.62,8,13,8.14,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\efficientnet_b0_full\summary.json
45,experiment_seed_45,efficientnet_b0,partial,78.972,78.724,36.4,33.437,42.572,45.287,42.47,12,15,5.58,R:\Anti gravity\Rice Disease Project\results\experiment_seed_45\efficientnet_b0_partial\summary.json
